Price,Room,Bathroom,BuildingArea,TotalArea,Parking,Latitude,Longitude
155139700,4,3,107.0,145.0,0,-33.5167,-70.7667
148000000,4,2,114.0,184.0,2,-33.4333,-70.7167
120000000,3,3,84.0,120.0,1,-33.6167,-70.5667
85000000,3,2,71.0,112.0,1,-33.4833,-70.55
125000000,3,2,68.0,89.0,0,-33.3667,-70.7333
360000000,3,1,120.0,378.0,3,-33.35,-70.6
234513500,5,3,107.0,220.0,1,-33.6167,-70.5667
292239900,3,3,100.0,377.0,3,-33.4766,-70.6062
120000000,2,1,96.0,247.0,1,-33.4264,-70.6996
52000000,3,1,78.0,61.0,0,-33.6167,-70.5667
150000000,4,2,80.0,149.0,1,-33.4766,-70.6062
110000000,3,2,76.0,120.0,1,-33.5167,-70.7667
58000000,3,1,74.0,61.0,0,-33.5167,-70.7667
85000000,3,2,70.0,60.0,1,-33.5167,-70.7667
132770720,3,2,65.0,113.0,1,-33.727,-70.7046
158206415,3,2,63.0,179.0,0,-33.6167,-70.5667
132193456,4,3,160.0,162.0,2,-33.5167,-70.7667
180000000,4,2,79.0,114.0,0,-33.4624,-70.6491
75000000,2,1,45.0,60.0,1,-33.5167,-70.7667
90197500,2,2,63.0,185.0,2,-33.5667,-70.7167
216474000,7,2,111.0,172.0,0,-33.4624,-70.6491
162355500,3,3,70.0,128.0,0,-33.3667,-70.7333
209258200,3,2,114.0,153.0,0,-33.3667,-70.7333
130000000,3,2,100.0,171.0,1,-33.5167,-70.7667
338421020,4,3,160.0,400.0,2,-33.4333,-70.7167
180000000,5,2,125.0,250.0,0,-33.2468,-70.625
106000000,3,2,60.0,157.0,2,-33.5719,-70.8068
142000000,4,3,242.0,349.0,1,-33.5667,-70.7167
136000000,3,3,92.0,148.0,1,-33.582,-70.692
145000000,2,1,82.0,317.0,2,-33.582,-70.692
113700000,4,2,68.0,100.0,1,-33.5167,-70.6389
480000000,5,6,240.0,600.0,2,-33.5167,-70.6389
537577100,5,6,240.0,600.0,7,-33.5167,-70.6389
120864650,3,2,62.0,159.0,1,-33.5167,-70.7667
505106000,6,3,275.0,600.0,6,-33.368,-70.642
135000000,4,2,138.0,250.0,1,-33.4833,-70.55
260490380,4,3,198.0,354.0,1,-33.4264,-70.6996
432948000,4,3,250.0,215.0,1,-33.443,-70.532
129162820,4,3,83.0,115.0,1,-33.5167,-70.7667
130000000,3,1,77.0,171.0,2,-33.45,-70.7
288632000,3,3,118.0,366.0,2,-33.727,-70.7046
396869000,4,4,168.0,283.0,2,-33.4833,-70.55
80000000,2,1,53.0,60.0,1,-33.5167,-70.6389
43000000,1,1,37.0,32.0,0,-33.4624,-70.6491
450987500,3,3,95.0,269.0,2,-33.4088,-70.5671
65000000,2,1,70.0,70.0,0,-33.4624,-70.6491
311722560,3,1,120.0,540.0,3,-33.582,-70.692
822601200,4,4,437.0,761.0,3,-33.4833,-70.55
223689800,3,3,136.0,189.0,0,-33.3667,-70.7333
245000000,6,3,140.0,436.0,2,-33.4975,-70.6287
90000000,2,1,85.0,100.0,0,-33.2468,-70.625
177000000,3,2,83.0,119.0,2,-33.4333,-70.7167
91243791,3,2,60.0,100.0,3,-33.582,-70.692
253851844,3,3,108.0,226.0,2,-33.4333,-70.7167
50510600,2,1,57.0,82.0,1,-33.1829,-70.6747
158747600,3,3,84.0,133.0,2,-33.2833,-70.8778
119000000,3,2,90.0,150.0,1,-33.6167,-70.5667
1046291000,5,4,200.0,825.0,4,-33.435,-70.615
165638689,3,2,89.0,142.0,3,-33.6167,-70.5667
595303500,4,3,165.0,550.0,8,-33.443,-70.532
279973040,4,2,94.0,340.0,0,-33.4766,-70.6062
130000000,3,3,70.0,110.0,2,-33.6167,-70.5667
180000000,2,1,63.0,150.0,1,-33.4833,-70.55
87311180,3,1,50.0,87.0,0,-33.582,-70.692
137352753,3,2,84.0,104.0,2,-33.5167,-70.6389
167767350,5,3,134.0,149.0,1,-33.6167,-70.5667
309197030,3,3,110.0,407.0,2,-33.4333,-70.7167
245337200,4,3,108.0,235.0,3,-33.4333,-70.7167
142115181,4,3,242.0,349.0,1,-33.5667,-70.7167
120000000,3,2,85.0,150.0,2,-33.6167,-70.5667
127500000,4,1,69.0,200.0,2,-33.4264,-70.6996
140000000,3,2,68.0,145.0,3,-33.5167,-70.6389
314300000,4,3,110.0,128.0,3,-33.443,-70.532
273000000,4,2,250.0,500.0,4,-33.4833,-70.55
75044320,4,1,87.0,150.0,1,-33.4264,-70.6996
224000000,4,2,118.0,165.0,1,-33.5167,-70.6333
100000000,6,2,110.0,158.0,0,-33.5167,-70.7667
559224500,4,3,160.0,252.0,2,-33.4088,-70.5671
310000000,5,4,155.0,395.0,2,-33.4333,-70.7167
793738000,9,4,440.0,690.0,2,-33.4624,-70.6491
159108390,3,2,98.0,150.0,2,-33.45,-70.7
130000000,3,2,62.0,180.0,1,-33.4333,-70.7167
310279400,3,3,118.0,350.0,3,-33.1829,-70.6747
136739410,3,2,68.0,168.0,3,-33.6167,-70.5667
143955210,4,2,139.0,130.0,2,-33.5167,-70.7667
125000000,5,3,134.0,89.0,1,-33.5167,-70.7667
70000000,2,1,40.0,59.0,1,-33.582,-70.692
125000000,3,3,149.0,119.0,1,-33.5167,-70.7667
160000000,5,2,138.0,200.0,2,-33.5167,-70.7667
187610800,3,2,126.0,443.0,2,-33.5985,-70.8734
120000000,4,1,82.0,114.0,1,-33.5167,-70.6389
85000000,3,2,56.0,110.0,3,-33.6167,-70.5667
230544810,3,2,83.0,750.0,6,-33.582,-70.692
164159450,3,2,88.0,128.0,3,-33.3667,-70.7333
83600000,4,1,83.0,76.0,1,-33.582,-70.692
165000000,3,3,105.0,130.0,2,-33.6167,-70.5667
400476900,7,4,384.0,732.0,3,-33.4264,-70.6996
266984600,4,3,110.0,256.0,4,-33.727,-70.7046
65500000,2,1,54.0,97.0,1,-33.7843,-70.7217
577264000,4,2,186.0,527.0,3,-33.2468,-70.625
100000000,4,1,154.0,196.0,1,-33.4667,-70.6667
299000000,4,4,177.0,259.0,3,-33.5167,-70.6389
210000000,4,2,112.0,154.0,2,-33.5007,-70.6514
70000000,3,1,113.0,113.0,0,-33.5667,-70.7167
115000000,4,2,85.0,110.0,2,-33.5167,-70.7667
146119950,4,3,110.0,180.0,2,-33.582,-70.692
130000000,3,1,88.0,200.0,1,-33.4975,-70.6287
115000000,3,1,110.0,230.0,2,-33.4274,-70.4843
155000000,3,1,90.0,120.0,0,-33.2773,-70.6106
89836710,2,2,56.0,86.0,1,-33.2833,-70.8778
160551550,2,3,93.0,145.0,2,-33.5167,-70.7667
115000000,3,1,76.0,120.0,2,-33.5167,-70.7667
277808300,5,2,150.0,330.0,3,-33.5167,-70.6333
325000000,4,2,127.0,450.0,4,-33.727,-70.7046
140708100,4,2,85.0,155.0,2,-33.582,-70.692
58500000,2,2,89.0,100.0,3,-33.6167,-70.5667
