Price,Room,Bathroom,BuildingArea,TotalArea,Parking,Latitude,Longitude
140000000,6,3.0,108.0,124.0,0.0,-33.5167,-70.7667
147057880,4,1.0,112.0,115.0,2.0,-33.5167,-70.6389
135000000,3,2.0,68.0,113.0,1.0,-33.5719,-70.8068
127000000,3,2.0,66.0,140.0,1.0,-33.3667,-70.7333
49114200,3,1.0,68.0,62.0,1.0,-33.5167,-70.7667
72000000,3,2.0,51.0,72.0,1.0,-33.5719,-70.8068
56000000,2,1.0,90.0,80.0,0.0,-33.4333,-70.7167
127412200,2,3.0,122.0,134.0,2.0,-33.422,-70.72
120000000,6,2.0,90.0,128.0,1.0,-33.5167,-70.7667
170000000,3,3.0,140.0,128.0,0.0,-33.582,-70.692
185000000,4,3.0,110.0,149.0,3.0,-33.3667,-70.7333
213540000,3,3.0,89.0,130.0,2.0,-33.3641,-70.6134
119084140,4,1.0,120.0,120.0,2.0,-33.5167,-70.7667
213540000,3,3.0,89.0,130.0,2.0,-33.3641,-70.6134
188627000,3,2.0,81.0,140.0,2.0,-33.1829,-70.6747
183466450,4,3.0,132.0,100.0,2.0,-33.5167,-70.7667
153037000,3,2.0,80.0,120.0,0.0,-33.1829,-70.6747
210000000,3,1.0,76.0,90.0,0.0,-33.45,-70.7
130000000,3,2.0,74.0,101.0,2.0,-33.5167,-70.7667
110000000,3,2.0,105.0,125.0,0.0,-33.45,-70.7
130508530,2,1.0,73.0,102.0,1.0,-33.5167,-70.6389
130508530,2,1.0,70.0,102.0,1.0,-33.5167,-70.6389
76447320,5,2.0,78.0,90.0,2.0,-33.6167,-70.5667
95000000,3,2.0,80.0,120.0,0.0,-33.5167,-70.7667
69900000,3,1.0,65.0,68.0,1.0,-33.519,-70.629
80077500,3,2.0,75.0,80.0,1.0,-33.582,-70.692
75000000,3,2.0,85.0,78.0,0.0,-33.1829,-70.6747
200000000,3,3.0,140.0,128.0,0.0,-33.582,-70.692
60467410,2,1.0,42.0,42.0,1.0,-33.4333,-70.7167
149122100,3,1.0,140.0,140.0,2.0,-33.4333,-70.7167
231335000,4,3.0,115.0,140.0,1.0,-33.3641,-70.6134
140000000,3,3.0,74.0,100.0,2.0,-33.6167,-70.5667
231335000,4,3.0,115.0,140.0,1.0,-33.3641,-70.6134
163714000,4,3.0,90.0,145.0,2.0,-33.6167,-70.5667
355000000,3,3.0,103.0,144.0,2.0,-33.443,-70.532
72000000,4,1.0,88.0,88.0,1.0,-33.1829,-70.6747
110329000,4,2.0,89.0,137.0,1.0,-33.3641,-70.6134
65000000,3,1.0,70.0,90.0,2.0,-33.4333,-70.7167
135000000,3,3.0,80.0,120.0,0.0,-33.6167,-70.5667
95000000,4,2.0,108.0,130.0,2.0,-33.6167,-70.5667
295000000,4,2.0,87.0,144.0,1.0,-33.2773,-70.6106
129800000,4,3.0,85.0,129.0,2.0,-33.5167,-70.7667
122800000,4,2.0,127.0,129.0,1.0,-33.5167,-70.7667
120000000,5,2.0,97.0,137.0,3.0,-33.6167,-70.5667
85000000,3,2.0,78.0,123.0,2.0,-33.5667,-70.7167
180000000,4,2.0,93.0,86.0,2.0,-33.4766,-70.6062
85000000,3,1.0,58.0,65.0,1.0,-33.6167,-70.5667
195000000,5,2.0,173.0,72.0,1.0,-33.5167,-70.6389
90000000,3,1.0,75.0,75.0,0.0,-33.4624,-70.6491
190000000,4,3.0,112.0,105.0,2.0,-33.45,-70.7
103211000,3,1.0,54.0,108.0,1.0,-33.6167,-70.5667
81000000,3,2.0,51.0,138.0,0.0,-33.5167,-70.7667
120000000,3,1.0,45.0,134.0,3.0,-33.5167,-70.7667
75000000,3,1.0,70.0,80.0,1.0,-33.3667,-70.7333
